ID,RELACION
48675,001
48676,001
48677,001
48678,001
48679,002
48680,002
48681,002
48682,002
48683,002
48684,002
48685,002
48686,002
48687,002
48688,002
48689,002
48690,002
48691,002
48692,002
48693,002
48694,002
48695,002
48696,002
48697,002
48698,002
48699,003
48700,003
48701,003
48702,003
48703,003
48704,003
48705,003
48706,003
48707,003
48708,003
48709,003
48710,003
48711,003
48712,003
48713,003
48714,003
48715,003
48716,003
48717,003
48718,004
48719,004
48720,004
48721,004
48722,004
48723,004
48724,004
48725,004
48726,004
48727,004
48728,004
48729,004
48730,004
48731,004
48732,004
48733,004
48734,004
48735,004
48736,004
48737,004
48738,005
48739,005
48740,005
48741,005
48742,005
48743,005
48744,005
48745,005
48746,005
48747,005
48748,005
48749,005
48750,005
48751,005
48752,005
48753,005
48754,005
48755,005
48756,005
48757,005
48758,006
48759,006
48760,006
48761,006
48762,006
48763,006
48764,006
48765,006
48766,006
48767,006
48768,006
48769,006
48770,006
48771,006
48772,006
48773,006
48774,006
48775,006
48776,006
48777,007
48778,007
48779,007
48780,007
48781,007
48782,007
48783,007
48784,007
48785,007
48786,007
48787,007
48788,007
48789,007
48790,007
48791,007
48792,007
48793,007
48794,007
48795,007
48796,007
48797,008
48798,008
48799,008
48800,008
48801,008
48802,008
48803,008
48804,008
48805,008
48806,008
48807,008
48808,008
48809,008
48810,008
48811,008
48812,008
48813,008
48814,008
48815,008
48816,008
48817,009
48818,009
48819,009
48820,009
48821,009
48822,009
48823,009
48824,009
48825,009
48826,009
48827,009
48828,009
48829,009
48830,009
48831,009
48832,009
48833,009
48834,009
48835,009
48836,009
48837,010
48838,010
48839,010
48840,010
48841,010
48842,010
48843,010
48844,010
48845,010
48846,010
48847,010
48848,010
48849,010
48850,010
48851,010
48852,010
48853,010
48854,010
48855,010
48856,010
48857,011
48858,011
48859,011
48860,011
48861,011
48862,011
48863,011
48864,011
48865,011
48866,011
48867,011
48868,011
48869,011
48870,011
48871,004
48872,005
48873,005
48874,005
48875,002
48876,002
48877,002
48878,002
48879,002
48880,002
48881,002
48882,002
48883,002
48884,002
48885,002
48886,002
48887,002
48888,002
48889,002
48890,002
48891,002
48892,002
48893,002
48894,002
48895,002
48896,002
48897,002
48898,002
48899,002
48900,002
48901,002
48902,002
48903,002
48904,002
48905,002
48906,002
48907,002
48908,002
48909,002
48910,002
48911,002
48912,002
48913,002
48914,002
48915,002
48916,004
48917,004
48918,004
48919,004
48920,001
48921,001
48922,001
48923,001
48924,001
48925,001
48926,001
48927,001
48928,001
48929,001
48930,001
48931,001
48932,001
48933,001
48934,001
48935,001
48936,001
48937,001
48938,001
48939,002
48940,002
48941,002
48942,002
48943,002
48944,002
48945,002
48946,002
48947,002
48948,002
48949,002
48950,002
48951,002
48952,002
48953,002
48954,002
48955,002
48956,002
48957,002
48958,025
48959,025
48960,025
48961,025
48962,025
48963,025
48964,025
48965,025
48966,025
48967,025
48968,025
48969,025
48970,025
48971,025
48972,025
48973,025
48974,025
48975,025
48976,025
48977,025
48978,006
48979,006
48980,006
48981,006
48982,006
48983,006
48984,006
48985,006
48986,006
48987,006
48988,006
48989,006
48990,006
48991,006
48992,007
48993,007
48994,007
48995,007
48996,007
48997,007
48998,007
48999,007
49000,007
49001,007
49002,007
49003,007
49004,008
49005,008
49006,008
49007,008
49008,008
49009,008
49010,008
49011,008
49012,008
49013,008
49014,009
49015,009
49016,009
49017,009
49018,009
49019,009
49020,009
49021,009
49022,009
49023,009
49024,009
49025,009
49026,009
49027,010
49028,010
49029,010
49030,010
49031,010
49032,010
49033,010
49034,010
49035,010
49036,010
49037,010
49038,010
49039,010
49040,011
49041,011
49042,011
49043,011
49044,012
49045,012
49046,012
49047,012
49048,012
49049,012
49050,012
49051,012
49052,012
49053,012
49054,012
49055,012
49056,012
49057,012
49058,014
49059,014
49060,014
49061,014
49062,014
49063,014
49064,014
49065,014
49066,014
49067,014
49068,014
49069,014
49070,014
49071,014
49072,014
49073,014
49074,014
49075,014
49076,014
49077,014
49078,015
49079,001
49080,001
49081,002
49082,002
49083,002
49084,002
49085,004
49086,006
49087,006
49088,006
49089,013
49090,013
49091,013
49092,013
49093,013
49094,013
49095,013
49096,013
49097,013
49098,013
49099,013
49100,013
49101,013
49102,013
49103,013
49104,013
49105,013
49106,013
49107,013
49108,014
49109,014
49110,014
49111,014
49112,014
49113,014
49114,014
49115,014
49116,015
49117,015
49118,015
49119,015
49120,015
49121,015
49122,015
49123,015
49124,015
49125,015
49126,015
49127,015
49128,015
49129,015
49130,015
49131,015
49132,015
49133,015
49134,016
49135,016
49136,016
49137,016
49138,016
49139,016
49140,016
49141,016
49142,016
49143,016
49144,016
49145,016
49146,016
49147,016
49148,017
49149,017
49150,017
49151,017
